Año,Tipo de recogida,Bilketa mota,Clasificación,Sailkapena,Subclasificación,Azpisailkapena,Ambito,Eremua,Total (kg)
2010,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2010,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Voluminosos-ayuntamiento,Udaleko tamaina handiko hondakinak,URBANO,HIRIA,3077840
2010,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2010,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Asentamiento incontrolado,Kontrolatu gabeko kokagunea,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,RAEE (Recogidos por los servicios municipales),TEEH (Udal zerbitzuek bildutakoak),URBANO,HIRIA,1160
2010,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2010,Recogida selectiva,Gaikako bilketa,Chatarra,Txatarra,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Residuos peligrosos de origen doméstico,Etxean sortutako hondakin arriskutsuak,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Residuos peligrosos de origen doméstico,Etxean sortutako hondakin arriskutsuak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2010,Recogida selectiva,Gaikako bilketa,Neumáticos,Pneumatikoak,Garbigune,Garbiguneak,URBANO,HIRIA,0
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Basura domiciliaria,Etxeko zaborra,URBANO,HIRIA,56491520
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Mercados,Merkatuak,URBANO,HIRIA,1138260
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida rural,Landako bilketa,URBANO,HIRIA,172340
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Garbigune (escombro),Garbigunea (obra hondakinak),URBANO,HIRIA,0
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Garbigune (Inerte),Garbigunea (hondakin geldoak),URBANO,HIRIA,0
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida comercial e industrial (orgánico no reciclable),Merkataritza eta industria bilketa (organiko birziklaezina),INDUSTRIAL,INDUSTRIA,0
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida comercial e industrial (inerte),Merkataritza eta industria bilketa (hondakin geldoak),INDUSTRIAL,INDUSTRIA,0
2010,Rechazo,Errefusa,Rechazo    ,Errefusa,Asentamiento incontrolado,Kontrolatu gabeko kokagunea,URBANO,HIRIA,0
2010,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Limpieza viaria ayuntamiento,Bide garbiketa Udala,URBANO,HIRIA,2911470
2010,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Limpieza playas,hondartzen garbiketa,URBANO,HIRIA,419140
2010,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Mezcla orgánica ayuntamiento,organiko nahasketa udala,URBANO,HIRIA,1600
2011,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,,,317075
2011,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Contenedores via pública,Bide publikoko edukiontziak,URBANO,HIRIA,513494
2011,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Contenedores vía pública. Recogida lateral,Bide publikoko edukiontziak. Alboko bilketa,URBANO,HIRIA,7386044
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Papel y cartón de centros escolares y administración,Ikastetxeetako eta administrazioetako papera eta kartoia,URBANO,HIRIA,870993
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón vía pública (Centro),Bide publikoko edukiontziak (erdialdea),URBANO,HIRIA,1122960
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón puerta a puerta (barrios),atez ateko kartoia (auzoak),URBANO,HIRIA,815756
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón comercial (Parte Vieja),Merkataritzako kartoia (Parte Zaharra),URBANO,HIRIA,296670
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón garbigunes,Garbiguneetako kartoia,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Contenedores vía pública recogida lateral,Bide publikoko edukiontziak. Alboko bilketa,URBANO,HIRIA,3597932
2011,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Contenedores vía pública y grandes productores recogida trasera,Bide publikoko edukiontziak eta ekoizle handiak. Atzeko bilketa,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Parte Vieja,Parte Zaharra,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Vidrio,Beira,Contenedores vía pública de vidrio,Bide publikoko beira edukiontziak,URBANO,HIRIA,5106834
2011,Recogida selectiva,Gaikako bilketa,Vidrio,Beira,Vídrio hostelería difícil acceso,Sarbide zaileko ostalaritza establezimenduetako beira,URBANO,HIRIA,1213020
2011,Recogida selectiva,Gaikako bilketa,Pilas,Pilak,Contenedores en la vía pública y puntos de recogida,Bide publikoko eta bilketa puntuetako edukiontziak,URBANO,HIRIA,24464
2011,Recogida selectiva,Gaikako bilketa,Textiles,Oihalak,Contenedores en vía pública de textiles,Bide publikoko oihal edukiontziak,URBANO,HIRIA,546235
2011,Recogida selectiva,Gaikako bilketa,Aceite cocina,Sukaldeko olioa,Contenedores en vía pública,Bide publikoko edukiontziak,URBANO,HIRIA,9360
2011,Recogida selectiva,Gaikako bilketa,Aceite cocina,Sukaldeko olioa,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,34870
2011,Recogida selectiva,Gaikako bilketa,Vidrio plano,Beira zapala,Garbigunes vidrio plano,Garbiguneetako beira zapala,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Vidrio plano,Beira zapala,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Plásticos,Plastikoak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Plásticos,Plastikoak,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Plásticos,Plastikoak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Material no leñoso: hierba, Egurra ez den materiala: belarra,URBANO,HIRIA,206280
2011,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Material leñoso: ramas,Zurezko materiala: adarrak,URBANO,HIRIA,322640
2011,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Garbigune,Garbiguneak,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Maderas ayuntamiento,Zurak Udala,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Garbigune,Garbiguneak,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Voluminosos-ayuntamiento,Udaleko tamaina handiko hondakinak,URBANO,HIRIA,2968980
2011,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Asentamiento incontrolado,Kontrolatu gabeko kokagunea,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,RAEE (Recogidos por los servicios municipales),TEEH (Udal zerbitzuek bildutakoak),URBANO,HIRIA,2160
2011,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2011,Recogida selectiva,Gaikako bilketa,Chatarra,Txatarra,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Residuos peligrosos de origen doméstico,Etxean sortutako hondakin arriskutsuak,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Residuos peligrosos de origen doméstico,Etxean sortutako hondakin arriskutsuak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2011,Recogida selectiva,Gaikako bilketa,Neumáticos,Pneumatikoak,Garbigune,Garbiguneak,URBANO,HIRIA,0
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Basura domiciliaria,Etxeko zaborra,URBANO,HIRIA,55011860
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Mercados,Merkatuak,URBANO,HIRIA,1140400
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida rural,Landako bilketa,URBANO,HIRIA,139680
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Garbigune (escombro),Garbigunea (obra hondakinak),URBANO,HIRIA,0
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Garbigune (Inerte),Garbigunea (hondakin geldoak),URBANO,HIRIA,0
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida comercial e industrial (orgánico no reciclable),Merkataritza eta industria bilketa (organiko birziklaezina),INDUSTRIAL,INDUSTRIA,0
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida comercial e industrial (inerte),Merkataritza eta industria bilketa (hondakin geldoak),INDUSTRIAL,INDUSTRIA,0
2011,Rechazo,Errefusa,Rechazo    ,Errefusa,Asentamiento incontrolado,Kontrolatu gabeko kokagunea,URBANO,HIRIA,0
2011,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Limpieza viaria ayuntamiento,Bide garbiketa Udala,URBANO,HIRIA,2954680
2011,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Limpieza playas,hondartzen garbiketa,URBANO,HIRIA,828040
2011,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Mezcla orgánica ayuntamiento,organiko nahasketa udala,URBANO,HIRIA,156680
2012,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,,,317075
2012,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Contenedores via pública,Bide publikoko edukiontziak,URBANO,HIRIA,770690
2012,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Orgánica,Organikoa,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Contenedores vía pública. Recogida lateral,Bide publikoko edukiontziak. Alboko bilketa,URBANO,HIRIA,6953272
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Papel y cartón de centros escolares y administración,Ikastetxeetako eta administrazioetako papera eta kartoia,URBANO,HIRIA,714585
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón vía pública (Centro),Bide publikoko edukiontziak (erdialdea),URBANO,HIRIA,1016410
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón puerta a puerta (barrios),atez ateko kartoia (auzoak),URBANO,HIRIA,822936
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón comercial (Parte Vieja),Merkataritzako kartoia (Parte Zaharra),URBANO,HIRIA,286660
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Cartón garbigunes,Garbiguneetako kartoia,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Papel/cartón,Papera/Kartoia,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Contenedores vía pública recogida lateral,Bide publikoko edukiontziak. Alboko bilketa,URBANO,HIRIA,3389584
